Epoch: 68, Train Loss: 0.12445278137996578, Train Accuracy: 0.9595608866442199, Val Loss: 0.2996800129316308, Val Accuracy: 0.8625, Learning Rate: 0.001, Epoch Duration: 10563 milliseconds
Epoch: 69, Train Loss: 0.11274908817505584, Train Accuracy: 0.9653829966329965, Val Loss: 0.2915388391042092, Val Accuracy: 0.8875, Learning Rate: 0.001, Epoch Duration: 10620 milliseconds
Epoch: 70, Train Loss: 0.10469096822178678, Train Accuracy: 0.9682414421997755, Val Loss: 0.28226074367964016, Val Accuracy: 0.89375, Learning Rate: 0.001, Epoch Duration: 10554 milliseconds
Epoch: 71, Train Loss: 0.10629754292252735, Train Accuracy: 0.9705913299663299, Val Loss: 0.36460867392633156, Val Accuracy: 0.8375, Learning Rate: 0.001, Epoch Duration: 10589 milliseconds
Epoch: 72, Train Loss: 0.11220359286397391, Train Accuracy: 0.9640063832772167, Val Loss: 0.30722925977245147, Val Accuracy: 0.86875, Learning Rate: 0.001, Epoch Duration: 10533 milliseconds
Epoch: 73, Train Loss: 0.09623716009218813, Train Accuracy: 0.9737040544332211, Val Loss: 0.28139023416596187, Val Accuracy: 0.88125, Learning Rate: 0.001, Epoch Duration: 10514 milliseconds
Epoch: 74, Train Loss: 0.08636600878328543, Train Accuracy: 0.9761591610549945, Val Loss: 0.32847891651700933, Val Accuracy: 0.875, Learning Rate: 0.001, Epoch Duration: 10551 milliseconds
Epoch: 75, Train Loss: 0.08794692673653468, Train Accuracy: 0.9754401655443322, Val Loss: 0.34582834708501786, Val Accuracy: 0.8625, Learning Rate: 0.001, Epoch Duration: 10536 milliseconds
Epoch: 76, Train Loss: 0.07726757582205322, Train Accuracy: 0.9789123877665544, Val Loss: 0.32299847123915987, Val Accuracy: 0.8875, Learning Rate: 0.001, Epoch Duration: 10754 milliseconds
Epoch: 77, Train Loss: 0.07418210794808106, Train Accuracy: 0.9831036054994389, Val Loss: 0.297597496558552, Val Accuracy: 0.8875, Learning Rate: 0.001, Epoch Duration: 10532 milliseconds
Epoch: 78, Train Loss: 0.07138194386043308, Train Accuracy: 0.9853482744107743, Val Loss: 0.29529929951302275, Val Accuracy: 0.875, Learning Rate: 0.001, Epoch Duration: 10597 milliseconds
Epoch: 79, Train Loss: 0.0634164237087235, Train Accuracy: 0.980139941077441, Val Loss: 0.3201034818024198, Val Accuracy: 0.875, Learning Rate: 0.001, Epoch Duration: 10584 milliseconds
Epoch: 80, Train Loss: 0.05962840127569645, Train Accuracy: 0.9842259399551067, Val Loss: 0.3819040145624958, Val Accuracy: 0.85, Learning Rate: 0.001, Epoch Duration: 10569 milliseconds
Epoch: 81, Train Loss: 0.06300435279988892, Train Accuracy: 0.9864706088664421, Val Loss: 0.3014148925517254, Val Accuracy: 0.86875, Learning Rate: 0.001, Epoch Duration: 10618 milliseconds
Epoch: 82, Train Loss: 0.07083669278250852, Train Accuracy: 0.9807537177328844, Val Loss: 0.3183504013920513, Val Accuracy: 0.8625, Learning Rate: 0.001, Epoch Duration: 10521 milliseconds
Epoch: 83, Train Loss: 0.07800124042200735, Train Accuracy: 0.9786581088664421, Val Loss: 0.3092382772712262, Val Accuracy: 0.86875, Learning Rate: 0.001, Epoch Duration: 10523 milliseconds
Epoch: 84, Train Loss: 0.06942619629922528, Train Accuracy: 0.9869791666666666, Val Loss: 0.3705658621412058, Val Accuracy: 0.85625, Learning Rate: 0.001, Epoch Duration: 10566 milliseconds
Epoch: 85, Train Loss: 0.05533123274808258, Train Accuracy: 0.9901971099887766, Val Loss: 0.3876990618862611, Val Accuracy: 0.85625, Learning Rate: 0.001, Epoch Duration: 10549 milliseconds
Epoch: 86, Train Loss: 0.059464794729451195, Train Accuracy: 0.9844802188552187, Val Loss: 0.3618883994992177, Val Accuracy: 0.86875, Learning Rate: 0.001, Epoch Duration: 10549 milliseconds
Epoch: 87, Train Loss: 0.05905750788306438, Train Accuracy: 0.9921875, Val Loss: 0.32785171725225004, Val Accuracy: 0.86875, Learning Rate: 0.001, Epoch Duration: 10552 milliseconds
Epoch: 88, Train Loss: 0.05525753508775824, Train Accuracy: 0.9910651655443322, Val Loss: 0.3876413744475938, Val Accuracy: 0.84375, Learning Rate: 0.001, Epoch Duration: 10573 milliseconds
Epoch: 89, Train Loss: 0.049245821599404556, Train Accuracy: 0.9919332210998877, Val Loss: 0.39343243728483535, Val Accuracy: 0.85, Learning Rate: 0.001, Epoch Duration: 10669 milliseconds
Epoch: 90, Train Loss: 0.06021745091804674, Train Accuracy: 0.9904513888888888, Val Loss: 0.3910833540525266, Val Accuracy: 0.8375, Learning Rate: 0.001, Epoch Duration: 10496 milliseconds
Epoch: 91, Train Loss: 0.045937989813251805, Train Accuracy: 0.9919332210998877, Val Loss: 0.35528535746137735, Val Accuracy: 0.89375, Learning Rate: 0.001, Epoch Duration: 10644 milliseconds
Epoch: 92, Train Loss: 0.04122863177600296, Train Accuracy: 0.9945373877665544, Val Loss: 0.3343381506349762, Val Accuracy: 0.85, Learning Rate: 0.001, Epoch Duration: 10590 milliseconds
Epoch: 93, Train Loss: 0.03275243097012548, Train Accuracy: 0.9965277777777778, Val Loss: 0.3764728530764598, Val Accuracy: 0.86875, Learning Rate: 0.001, Epoch Duration: 10627 milliseconds
Epoch: 94, Train Loss: 0.030250417574153206, Train Accuracy: 0.9947916666666666, Val Loss: 0.34480292707075616, Val Accuracy: 0.8625, Learning Rate: 0.001, Epoch Duration: 10580 milliseconds
Epoch: 95, Train Loss: 0.03221881509181733, Train Accuracy: 0.9965277777777778, Val Loss: 0.36261318472292664, Val Accuracy: 0.85625, Learning Rate: 0.001, Epoch Duration: 10568 milliseconds
Epoch: 96, Train Loss: 0.03116243536410433, Train Accuracy: 0.9947916666666666, Val Loss: 0.37046292942843984, Val Accuracy: 0.88125, Learning Rate: 0.001, Epoch Duration: 10648 milliseconds
Epoch: 97, Train Loss: 0.023644826942305568, Train Accuracy: 0.9965277777777778, Val Loss: 0.3480289329507268, Val Accuracy: 0.88125, Learning Rate: 0.001, Epoch Duration: 10952 milliseconds
Epoch: 98, Train Loss: 0.024294666107651155, Train Accuracy: 0.9973958333333334, Val Loss: 0.3760716928735911, Val Accuracy: 0.88125, Learning Rate: 0.001, Epoch Duration: 11224 milliseconds
Epoch: 99, Train Loss: 0.031002746392923854, Train Accuracy: 0.9947916666666666, Val Loss: 0.35048626031935526, Val Accuracy: 0.88125, Learning Rate: 0.001, Epoch Duration: 10654 milliseconds
Epoch: 100, Train Loss: 0.021421502477484113, Train Accuracy: 0.9973958333333334, Val Loss: 0.4022886519182817, Val Accuracy: 0.85625, Learning Rate: 0.001, Epoch Duration: 10591 milliseconds
